t,firing_rate,mean_membrane,mean_weight,mean_pre_trace,mean_post_trace,n_refractory
1,0.520000,0.278205,0.502216,0.520000,0.520000,1040
2,0.140000,0.156385,0.501628,0.634000,0.634000,1268
3,0.030000,0.119977,0.500365,0.632300,0.632300,1262
4,0.010000,0.109408,0.499041,0.610685,0.610685,1213
5,0.000000,0.107480,0.497767,0.580151,0.580151,1143
6,0.030000,0.079559,0.496678,0.581143,0.581143,1133
7,0.000000,0.076914,0.495498,0.552086,0.552086,1060
8,0.000000,0.074797,0.494382,0.524482,0.524482,987
9,0.010000,0.063223,0.493377,0.508258,0.508258,934
10,0.000000,0.061576,0.492391,0.482845,0.482845,860
11,0.000000,0.060259,0.491472,0.458702,0.458702,786
12,0.000000,0.059205,0.490601,0.435767,0.435767,712
13,0.000000,0.058362,0.489778,0.413979,0.413979,638
14,0.000000,0.057688,0.488997,0.393280,0.393280,564
15,0.000000,0.057148,0.488264,0.373616,0.373616,490
16,0.000000,0.056717,0.487571,0.354935,0.354935,416
17,0.000000,0.056371,0.486918,0.337188,0.337188,342
18,0.000000,0.056095,0.486299,0.320329,0.320329,268
19,0.000000,0.055874,0.485721,0.304313,0.304313,194
20,0.000000,0.055697,0.485173,0.289097,0.289097,120
21,0.000000,0.055556,0.484657,0.274642,0.274642,46
22,0.130000,0.297324,0.484244,0.390910,0.390910,284
23,0.280000,0.218023,0.484652,0.651364,0.651364,823
24,0.100000,0.188099,0.483873,0.718796,0.718796,977
25,0.080000,0.139361,0.482940,0.762856,0.762856,1082
26,0.030000,0.123468,0.481631,0.754714,0.754714,1079
27,0.020000,0.109725,0.480340,0.736978,0.736978,1056
28,0.010000,0.106091,0.479051,0.710129,0.710129,1011
29,0.010000,0.097182,0.477859,0.684623,0.684623,965
30,0.000000,0.102298,0.476678,0.650392,0.650392,899
31,0.000000,0.106285,0.475567,0.617872,0.617872,833
32,0.000000,0.109374,0.474528,0.586978,0.586978,767
33,0.010000,0.100702,0.473611,0.567630,0.567630,721
34,0.000000,0.102334,0.472696,0.539248,0.539248,654
35,0.000000,0.103573,0.471836,0.512285,0.512285,587
36,0.000000,0.104500,0.471034,0.486671,0.486671,520
37,0.000000,0.105182,0.470275,0.462338,0.462338,453
38,0.000000,0.105670,0.469562,0.439221,0.439221,386
39,0.000000,0.106006,0.468891,0.417260,0.417260,319
40,0.000000,0.106231,0.468255,0.396397,0.396397,252
41,0.000000,0.106380,0.467656,0.376577,0.376577,185
42,0.000000,0.106472,0.467097,0.357748,0.357748,118
43,0.030000,0.162401,0.466572,0.369861,0.369861,124
44,0.100000,0.224300,0.466165,0.451368,0.451368,295
45,0.080000,0.276898,0.465714,0.508799,0.508799,426
46,0.080000,0.291216,0.465187,0.563359,0.563359,557
47,0.060000,0.291018,0.464551,0.595191,0.595191,643
48,0.090000,0.235994,0.464113,0.655432,0.655432,785
49,0.030000,0.225099,0.463230,0.652660,0.652660,799
50,0.000000,0.245677,0.462273,0.620027,0.620027,751
51,0.040000,0.217566,0.461569,0.629026,0.629026,783
