t,neuron_id,refractory
1,0,0
1,1,0
1,2,0
1,3,0
1,4,20
1,5,20
1,6,20
1,7,20
1,8,20
1,9,20
1,10,0
1,11,20
1,12,20
1,13,20
1,14,20
1,15,20
1,16,0
1,17,0
1,18,20
1,19,20
1,20,0
1,21,0
1,22,20
1,23,20
1,24,0
1,25,0
1,26,20
1,27,20
1,28,0
1,29,0
1,30,0
1,31,20
1,32,20
1,33,20
1,34,0
1,35,20
1,36,0
1,37,0
1,38,20
1,39,20
1,40,20
1,41,20
1,42,0
1,43,20
1,44,0
1,45,0
1,46,0
1,47,20
1,48,20
1,49,0
1,50,0
1,51,20
1,52,0
1,53,0
1,54,20
1,55,20
1,56,0
1,57,0
1,58,0
1,59,20
1,60,0
1,61,20
1,62,20
1,63,20
1,64,0
1,65,0
1,66,20
1,67,20
1,68,20
1,69,20
1,70,0
1,71,0
1,72,20
1,73,0
1,74,20
1,75,0
1,76,20
1,77,0
1,78,0
1,79,20
1,80,20
1,81,0
1,82,20
1,83,0
1,84,0
1,85,0
1,86,0
1,87,20
1,88,20
1,89,0
1,90,20
1,91,20
1,92,20
1,93,0
1,94,0
1,95,0
1,96,0
1,97,20
1,98,20
1,99,0
2,0,20
2,1,0
2,2,0
2,3,0
2,4,19
2,5,19
2,6,19
2,7,19
2,8,19
2,9,19
2,10,0
2,11,19
2,12,19
2,13,19
2,14,19
2,15,19
2,16,0
2,17,0
2,18,19
2,19,19
2,20,0
2,21,20
2,22,19
2,23,19
2,24,20
2,25,20
2,26,19
2,27,19
2,28,0
2,29,0
2,30,0
2,31,19
2,32,19
2,33,19
2,34,0
2,35,19
2,36,0
2,37,0
2,38,19
2,39,19
2,40,19
2,41,19
2,42,0
2,43,19
2,44,0
2,45,20
2,46,0
2,47,19
2,48,19
2,49,20
2,50,0
2,51,19
2,52,0
2,53,0
2,54,19
2,55,19
2,56,0
2,57,0
2,58,20
2,59,19
2,60,0
2,61,19
2,62,19
2,63,19
2,64,20
2,65,20
2,66,19
2,67,19
2,68,19
2,69,19
2,70,20
2,71,20
2,72,19
2,73,20
2,74,19
2,75,20
2,76,19
2,77,0
2,78,20
2,79,19
2,80,19
2,81,0
2,82,19
2,83,0
2,84,0
2,85,0
2,86,0
2,87,19
2,88,19
2,89,0
2,90,19
2,91,19
2,92,19
2,93,0
2,94,0
2,95,0
2,96,0
2,97,19
2,98,19
2,99,0
3,0,19
3,1,0
3,2,0
3,3,0
3,4,18
3,5,18
3,6,18
3,7,18
3,8,18
3,9,18
3,10,0
3,11,18
3,12,18
3,13,18
3,14,18
3,15,18
3,16,0
3,17,20
3,18,18
3,19,18
3,20,0
3,21,19
3,22,18
3,23,18
3,24,19
3,25,19
3,26,18
3,27,18
3,28,0
3,29,0
3,30,0
3,31,18
3,32,18
3,33,18
3,34,0
3,35,18
3,36,20
3,37,0
3,38,18
3,39,18
3,40,18
3,41,18
3,42,0
