t,neuron_id,threshold
1,0,0.770115
1,1,0.328473
1,2,0.450570
1,3,0.185740
1,4,0.467105
1,5,0.356994
1,6,0.998576
1,7,0.277425
1,8,0.303391
1,9,0.162622
1,10,0.719769
1,11,0.580577
1,12,0.020538
1,13,0.393325
1,14,0.897888
1,15,0.272443
1,16,0.419920
1,17,0.779024
1,18,0.027340
1,19,0.520862
1,20,0.862058
1,21,0.628034
1,22,0.249924
1,23,0.137945
1,24,0.207527
1,25,0.025621
1,26,0.615965
1,27,0.784441
1,28,0.496989
1,29,0.926334
1,30,0.469177
1,31,0.895633
1,32,0.534176
1,33,0.835375
1,34,0.984969
1,35,0.450065
1,36,0.587655
1,37,0.396316
1,38,0.153473
1,39,0.162516
1,40,0.586067
1,41,0.143896
1,42,0.416580
1,43,0.424656
1,44,0.561450
1,45,0.724850
1,46,0.187297
1,47,0.368713
1,48,0.048120
1,49,0.252859
1,50,0.503792
1,51,0.662977
1,52,0.358448
1,53,0.840129
1,54,0.245963
1,55,0.783479
1,56,0.478297
1,57,0.946381
1,58,0.972174
1,59,0.052664
1,60,0.114185
1,61,0.625914
1,62,0.483485
1,63,0.221074
1,64,0.674055
1,65,0.827397
1,66,0.131165
1,67,0.173015
1,68,0.349261
1,69,0.813377
1,70,0.727878
1,71,0.678832
1,72,0.810135
1,73,0.538366
1,74,0.288182
1,75,0.621034
1,76,0.261770
1,77,0.397688
1,78,0.397501
1,79,0.309329
1,80,0.386030
1,81,0.131397
1,82,0.208406
1,83,0.975505
1,84,0.272823
1,85,0.346322
1,86,0.979483
1,87,0.650600
1,88,0.306057
1,89,0.918025
1,90,0.539170
1,91,0.283675
1,92,0.777455
1,93,0.503995
1,94,0.684369
1,95,0.992632
1,96,0.256181
1,97,0.606182
1,98,0.215650
1,99,0.433844
2,0,0.770115
2,1,0.328473
2,2,0.450570
2,3,0.185740
2,4,0.467105
2,5,0.356994
2,6,0.998576
2,7,0.277425
2,8,0.303391
2,9,0.162622
2,10,0.719769
2,11,0.580577
2,12,0.020538
2,13,0.393325
2,14,0.897888
2,15,0.272443
2,16,0.419920
2,17,0.779024
2,18,0.027340
2,19,0.520862
2,20,0.862058
2,21,0.628034
2,22,0.249924
2,23,0.137945
2,24,0.207527
2,25,0.025621
2,26,0.615965
2,27,0.784441
2,28,0.496989
2,29,0.926334
2,30,0.469177
2,31,0.895633
2,32,0.534176
2,33,0.835375
2,34,0.984969
2,35,0.450065
2,36,0.587655
2,37,0.396316
2,38,0.153473
2,39,0.162516
2,40,0.586067
2,41,0.143896
2,42,0.416580
2,43,0.424656
2,44,0.561450
2,45,0.724850
2,46,0.187297
2,47,0.368713
2,48,0.048120
2,49,0.252859
2,50,0.503792
2,51,0.662977
2,52,0.358448
2,53,0.840129
2,54,0.245963
2,55,0.783479
2,56,0.478297
2,57,0.946381
2,58,0.972174
2,59,0.052664
2,60,0.114185
2,61,0.625914
2,62,0.483485
2,63,0.221074
2,64,0.674055
2,65,0.827397
2,66,0.131165
2,67,0.173015
2,68,0.349261
2,69,0.813377
2,70,0.727878
2,71,0.678832
2,72,0.810135
2,73,0.538366
2,74,0.288182
2,75,0.621034
2,76,0.261770
2,77,0.397688
2,78,0.397501
2,79,0.309329
2,80,0.386030
2,81,0.131397
2,82,0.208406
2,83,0.975505
2,84,0.272823
2,85,0.346322
2,86,0.979483
2,87,0.650600
2,88,0.306057
2,89,0.918025
2,90,0.539170
2,91,0.283675
2,92,0.777455
2,93,0.503995
2,94,0.684369
2,95,0.992632
2,96,0.256181
2,97,0.606182
2,98,0.215650
2,99,0.433844
3,0,0.770115
3,1,0.328473
3,2,0.450570
3,3,0.185740
3,4,0.467105
3,5,0.356994
3,6,0.998576
3,7,0.277425
3,8,0.303391
3,9,0.162622
3,10,0.719769
3,11,0.580577
3,12,0.020538
3,13,0.393325
3,14,0.897888
3,15,0.272443
3,16,0.419920
3,17,0.779024
3,18,0.027340
3,19,0.520862
3,20,0.862058
3,21,0.628034
3,22,0.249924
3,23,0.137945
3,24,0.207527
3,25,0.025621
3,26,0.615965
3,27,0.784441
3,28,0.496989
3,29,0.926334
3,30,0.469177
3,31,0.895633
3,32,0.534176
3,33,0.835375
3,34,0.984969
3,35,0.450065
3,36,0.587655
3,37,0.396316
3,38,0.153473
3,39,0.162516
3,40,0.586067
3,41,0.143896
3,42,0.416580
3,43,0.424656
3,44,0.561450
3,45,0.724850
3,46,0.187297
3,47,0.368713
3,48,0.048120
3,49,0.252859
3,50,0.503792
3,51,0.662977
3,52,0.358448
3,53,0.840129
3,54,0.245963
3,55,0.783479
3,56,0.478297
3,57,0.946381
3,58,0.972174
3,59,0.052664
3,60,0.114185
3,61,0.625914
3,62,0.483485
3,63,0.221074
3,64,0.674055
3,65,0.827397
3,66,0.131165
3,67,0.173015
3,68,0.349261
3,69,0.813377
3,70,0.727878
3,71,0.678832
3,72,0.810135
3,73,0.538366
3,74,0.288182
3,75,0.621034
3,76,0.261770
3,77,0.397688
3,78,0.397501
3,79,0.309329
3,80,0.386030
3,81,0.131397
3,82,0.208406
3,83,0.975505
3,84,0.272823
3,85,0.346322
3,86,0.979483
3,87,0.650600
3,88,0.306057
3,89,0.918025
3,90,0.539170
3,91,0.283675
3,92,0.777455
3,93,0.503995
3,94,0.684369
3,95,0.992632
3,96,0.256181
3,97,0.606182
3,98,0.215650
3,99,0.433844
4,0,0.770115
4,1,0.328473
4,2,0.450570
4,3,0.185740
4,4,0.467105
4,5,0.356994
4,6,0.998576
4,7,0.277425
4,8,0.303391
4,9,0.162622
4,10,0.719769
4,11,0.580577
4,12,0.020538
4,13,0.393325
4,14,0.897888
4,15,0.272443
4,16,0.419920
4,17,0.779024
4,18,0.027340
4,19,0.520862
4,20,0.862058
4,21,0.628034
4,22,0.249924
4,23,0.137945
4,24,0.207527
4,25,0.025621
4,26,0.615965
4,27,0.784441
4,28,0.496989
4,29,0.926334
4,30,0.469177
4,31,0.895633
4,32,0.534176
4,33,0.835375
4,34,0.984969
4,35,0.450065
4,36,0.587655
4,37,0.396316
4,38,0.153473
4,39,0.162516
4,40,0.586067
4,41,0.143896
4,42,0.416580
4,43,0.424656
4,44,0.561450
4,45,0.724850
4,46,0.187297
4,47,0.368713
4,48,0.048120
4,49,0.252859
4,50,0.503792
4,51,0.662977
4,52,0.358448
4,53,0.840129
4,54,0.245963
4,55,0.783479
4,56,0.478297
4,57,0.946381
4,58,0.972174
4,59,0.052664
4,60,0.114185
4,61,0.625914
4,62,0.483485
4,63,0.221074
4,64,0.674055
4,65,0.827397
4,66,0.131165
4,67,0.173015
4,68,0.349261
4,69,0.813377
4,70,0.727878
4,71,0.678832
4,72,0.810135
4,73,0.538366
4,74,0.288182
4,75,0.621034
4,76,0.261770
4,77,0.397688
4,78,0.397501
4,79,0.309329
4,80,0.386030
4,81,0.131397
4,82,0.208406
4,83,0.975505
4,84,0.272823
4,85,0.346322
4,86,0.979483
4,87,0.650600
4,88,0.306057
4,89,0.918025
4,90,0.539170
4,91,0.283675
4,92,0.777455
4,93,0.503995
4,94,0.684369
4,95,0.992632
4,96,0.256181
4,97,0.606182
